"Clube";"Pais"
"1 de Mayo";"Bolívia"
"12 de Octubre";"Paraguai"
"2 de Mayo";"Paraguai"
"3 de Febrero";"Paraguai"
"7 de Setembro";"Brasil"
"A. Italiano";"Chile"
"Abandoned Cesar Vallejo";"Peru"
"Abandoned Chico";"Colômbia"
"Abandoned Rubio Nu";"Paraguai"
"Abandoned Sp. Luqueno";"Paraguai"
"Abandoned Wanderers";"Uruguai"
"ABC";"Brasil"
"AC Colina";"Chile"
"AC Lala FC";"Venezuela"
"Academia";"Colômbia"
"Acassuso";"Argentina"
"Acreano";"Brasil"
"AD Cantolao";"Peru"
"AE Altos";"Brasil"
"Agropecuario";"Argentina"
"Aguia De Maraba";"Brasil"
"Aguia Negra";"Brasil"
"Aguilas";"Colômbia"
"AH Zapla";"Argentina"
"Aimore";"Brasil"
"Aldosivi";"Argentina"
"Alecrim";"Brasil"
"Alianza Atl.";"Peru"
"Alianza de Guano";"Equador"
"Alianza Huanuco";"Peru"
"Alianza Lima";"Peru"
"All Boys";"Argentina"
"Almagro";"Argentina"
"Almirante Brown";"Argentina"
"Alvarado";"Argentina"
"Always Ready";"Bolívia"
"Amadense";"Brasil"
"Ameliano";"Paraguai"
"America AM";"Brasil"
"America De Cali";"Colômbia"
"America de Quito";"Equador"
"America MG";"Brasil"
"America RN";"Brasil"
"Americano FC";"Brasil"
"Anapolina";"Brasil"
"Anapolis";"Brasil"
"Andino";"Argentina"
"Angostura";"Venezuela"
"Antofagasta";"Chile"
"Antoniana";"Argentina"
"Aparecidense";"Brasil"
"Aquidauanense";"Brasil"
"Aracruz";"Brasil"
"Aragua";"Venezuela"
"Araguaia";"Brasil"
"Araguaina";"Brasil"
"Arapongas";"Brasil"
"Argentino de Merlo";"Argentina"
"Argentinos Jrs";"Argentina"
"Arroceros de Calabozo";"Venezuela"
"Arsenal Sarandi";"Argentina"
"Arturo Fernandez Vial";"Chile"
"ASA";"Brasil"
"Assu RN";"Brasil"
"Atenas";"Uruguai"
"Athletico-PR";"Brasil"
"Atl. La Sabana";"Colômbia"
"Atl. Minero";"Peru"
"Atl. Nacional";"Colômbia"
"Atl. Rafaela";"Argentina"
"Atl. Roraima";"Brasil"
"Atl. Socopo";"Venezuela"
"Atl. Sorocaba";"Brasil"
"Atl. Tembetary";"Paraguai"
"Atl. Tucuman";"Argentina"
"Atl. Venezuela";"Venezuela"
"Atlas";"Argentina"
"Atletico-CE";"Brasil"
"Atletico-MG";"Brasil"
"Atletico Atlanta";"Argentina"
"Atletico F.C.";"Colômbia"
"Atletico GO";"Brasil"
"Atletico Guanare";"Venezuela"
"Atletico Juventud";"Paraguai"
"Atletico Parana";"Argentina"
"Atletico Policial";"Argentina"
"Atletico Universidad";"Peru"
"Atyra";"Paraguai"
"Aucas";"Equador"
"Audax";"Brasil"
"Aurora";"Bolívia"
"Auto Esporte";"Brasil"
"Avai";"Brasil"
"Avenida";"Brasil"
"Ayacucho";"Peru"
"Bahia";"Brasil"
"Bahia De Feira";"Brasil"
"Balmaceda";"Chile"
"Banfield";"Argentina"
"Bangu";"Brasil"
"Barbalha";"Brasil"
"Barcelona SC";"Equador"
"Bare";"Brasil"
"Barnechea";"Chile"
"Barra FC";"Brasil"
"Barracas Central";"Argentina"
"Barranquilla";"Colômbia"
"Barueri";"Brasil"
"Belgrano";"Argentina"
"Bella Vista";"Uruguai"
"Bermejo";"Bolívia"
"Betim";"Brasil"
"Binacional";"Peru"
"Blooming";"Bolívia"
"Boa";"Brasil"
"Boavista";"Brasil"
"Boca Juniors";"Argentina"
"Boca Juniors";"Colômbia"
"Boca Unidos";"Argentina"
"Bogota";"Colômbia"
"Bolivar";"Bolívia"
"Boston River";"Uruguai"
"Botafogo PB";"Brasil"
"Botafogo RJ";"Brasil"
"Bragantino";"Brasil"
"Brasil de Pelotas";"Brasil"
"Brasilia";"Brasil"
"Brasiliense";"Brasil"
"Brown Adrogue";"Argentina"
"Brown De Posadas";"Argentina"
"Brusque";"Brasil"
"Bucaramanga";"Colômbia"
"C.D.S. Naval";"Chile"
"CA Cerro";"Uruguai"
"CA Estudiantes";"Argentina"
"CA Liniers";"Argentina"
"CA Mitre";"Argentina"
"CA Rondoniense";"Brasil"
"CA Torque";"Uruguai"
"Cabofriense";"Brasil"
"Cajamarca";"Peru"
"Caldense";"Brasil"
"Cameta";"Brasil"
"Camioneros Buenos Aires";"Argentina"
"Campinense";"Brasil"
"Canuelas";"Argentina"
"Capivariano";"Brasil"
"Carabobo";"Venezuela"
"Caracas";"Venezuela"
"Carlos Mannucci";"Peru"
"Caroni";"Venezuela"
"Carrera";"Chile"
"Cartagena";"Colômbia"
"CDJU Gualeguaychu";"Argentina"
"Ceara";"Brasil"
"Ceilandia";"Brasil"
"CENE";"Brasil"
"Centauros";"Colômbia"
"Central Ballester";"Argentina"
"Central Cordoba";"Argentina"
"Central Esp.";"Uruguai"
"Central Norte";"Argentina"
"Central SC";"Brasil"
"Central Union";"Bolívia"
"Centro Italo";"Venezuela"
"Ceramica RS";"Brasil"
"Cerrito";"Uruguai"
"Cerro Largo";"Uruguai"
"Cerro Porteno";"Paraguai"
"Cerro Porteno PF";"Paraguai"
"Cesar Vallejo";"Peru"
"Chacarita Juniors";"Argentina"
"Chaco For Ever";"Argentina"
"Chapecoense-SC";"Brasil"
"Chico";"Colômbia"
"Chico de Guayana";"Venezuela"
"Cianorte";"Brasil"
"Ciclon";"Bolívia"
"Cienciano";"Peru"
"Cipolletti";"Argentina"
"Clan Juvenil";"Equador"
"Club A. Guemes";"Argentina"
"Club Deportes Santa Cruz";"Chile"
"Club Lujan";"Argentina"
"Club Sportivo Rivadavia";"Argentina"
"CNI";"Peru"
"Cobreloa";"Chile"
"Cobresal";"Chile"
"Cobresol";"Peru"
"Colchagua";"Chile"
"Colegiales";"Argentina"
"Colegiales";"Paraguai"
"Colo Colo";"Chile"
"Colon";"Venezuela"
"Colon Santa FE";"Argentina"
"Colonia";"Uruguai"
"Comercial MS";"Brasil"
"Comercial PI";"Brasil"
"Comerciantes Unidos";"Peru"
"Comunicaciones";"Argentina"
"Confianca";"Brasil"
"Coopsol";"Peru"
"Copiapo";"Chile"
"Coquimbo";"Chile"
"Cordino EC";"Brasil"
"Corinthians";"Brasil"
"Corinthians AL";"Brasil"
"Corinthians PR";"Brasil"
"Corintians RN";"Brasil"
"Coritiba";"Brasil"
"Coronel";"Peru"
"Coronel Moldes";"Argentina"
"Cortulua";"Colômbia"
"Corumbaense";"Brasil"
"Coruripe";"Brasil"
"Crac Go";"Brasil"
"CRB";"Brasil"
"Criciuma";"Brasil"
"Cristal AP";"Brasil"
"Cristobal Colon";"Paraguai"
"Crucero del Norte";"Argentina"
"Cruzeiro";"Brasil"
"CSA";"Brasil"
"Cucuta";"Colômbia"
"Cuiaba Esporte";"Brasil"
"Curico Unido";"Chile"
"D. Concepcion";"Chile"
"D. Puerto Montt";"Chile"
"Dante";"Chile"
"Danubio";"Uruguai"
"Def. de Belgrano";"Argentina"
"Def. Pronunciamiento";"Argentina"
"Defensa y Justicia";"Argentina"
"Defensor La Bocana";"Peru"
"Defensor Sp.";"Uruguai"
"Defensores Belgrano VR";"Argentina"
"Defensores Unidos";"Argentina"
"Delfin";"Equador"
"Dep. Anzoategui";"Venezuela"
"Dep. Azogues";"Equador"
"Dep. Cali";"Colômbia"
"Dep. Capiata";"Paraguai"
"Dep. Cuenca";"Equador"
"Dep. Maracaibo";"Venezuela"
"Dep. Merlo";"Argentina"
"Dep. Municipal";"Peru"
"Dep. Pasto";"Colômbia"
"Dep. Quito";"Equador"
"Dep. Riestra";"Argentina"
"Dep. Tachira";"Venezuela"
"Deportes Iquique";"Chile"
"Deportes Linares";"Chile"
"Deportes Paniahue";"Chile"
"Deportes Quilicura";"Chile"
"Deportes Rengo";"Chile"
"Deportes Temuco";"Chile"
"Deportes Tolima";"Colômbia"
"Deportes Vallenar";"Chile"
"Deportivo Armenio";"Argentina"
"Deportivo Coopsol";"Peru"
"Deportivo Espanol";"Argentina"
"Deportivo Madryn";"Argentina"
"Deportivo Maipu";"Argentina"
"Deportivo Moron";"Argentina"
"Deportivo Nueva Esparta";"Venezuela"
"Deportivo Rincon";"Argentina"
"Deportivo Roca";"Argentina"
"Deportivo Santani";"Paraguai"
"Desamparados";"Argentina"
"Desportiva Ferroviaria";"Brasil"
"Destroyers";"Bolívia"
"Diamantes";"Venezuela"
"Diaz";"Paraguai"
"Dock Sud";"Argentina"
"Dom Bosco";"Brasil"
"DOM Pedro";"Brasil"
"Douglas Haig";"Argentina"
"Duque de Caxias";"Brasil"
"Dynamo Puerto";"Venezuela"
"EC Sao Jose";"Brasil"
"EL Nacional";"Equador"
"El Porvenir";"Argentina"
"El Vigia";"Venezuela"
"Emelec";"Equador"
"Enfoque";"Chile"
"Envigado";"Colômbia"
"Espigao";"Brasil"
"Espoli";"Equador"
"Estanciano EC";"Brasil"
"Estrela do Norte";"Brasil"
"Estrella";"Chile"
"Estrella Roja";"Venezuela"
"Estudiantes Caracas";"Venezuela"
"Estudiantes de Medicina";"Peru"
"Estudiantes L.P.";"Argentina"
"Estudiantes Merida";"Venezuela"
"Estudiantes Rio Cuarto";"Argentina"
"Everton";"Chile"
"Excursionistas";"Argentina"
"Falcon";"Venezuela"
"Fancesa";"Bolívia"
"Fast Clube";"Brasil"
"Favorita";"Chile"
"FBC Melgar";"Peru"
"FD Talentos del Sur";"Venezuela"
"Fenix";"Uruguai"
"Fernando de la Mora";"Paraguai"
"Ferro";"Argentina"
"Ferroviaria";"Brasil"
"Ferroviario";"Brasil"
"Figueirense";"Brasil"
"Flamengo PI";"Brasil"
"Flamengo RJ";"Brasil"
"Flandria";"Argentina"
"Floresta EC";"Brasil"
"Fluminense";"Brasil"
"Fluminense de Feira";"Brasil"
"Formosa";"Argentina"
"Fortaleza";"Brasil"
"Fortaleza";"Colômbia"
"Foz do Iguacu";"Brasil"
"Friburguense";"Brasil"
"Frontera";"Venezuela"
"Fuerza A.";"Equador"
"Fundacion AIFI";"Venezuela"
"Furrial";"Venezuela"
"Galicia";"Venezuela"
"Galvez";"Brasil"
"Gama";"Brasil"
"Garcilaso";"Peru"
"General Caballero";"Paraguai"
"General Caballero JLM";"Paraguai"
"General Lamadrid";"Argentina"
"General Velasquez";"Chile"
"Genus";"Brasil"
"Germinal";"Argentina"
"Gimnasia E.R.";"Argentina"
"Gimnasia Jujuy";"Argentina"
"Gimnasia L.P.";"Argentina"
"Gimnasia Mendoza";"Argentina"
"Gimnasia y Tiro";"Argentina"
"Globo";"Brasil"
"Godoy Cruz";"Argentina"
"Goianesia";"Brasil"
"Goias";"Brasil"
"Gran Valencia";"Venezuela"
"Grau";"Peru"
"Gremio";"Brasil"
"Guabira";"Bolívia"
"Guairena FC";"Paraguai"
"Guarani";"Brasil"
"Guarani";"Paraguai"
"Guarani";"Venezuela"
"Guarani Antonio Franco";"Argentina"
"Guarani de Juazeiro";"Brasil"
"Guarany";"Brasil"
"Guaratingueta";"Brasil"
"Guatire F.";"Venezuela"
"Guayaquil City";"Equador"
"Guaymallen";"Argentina"
"Guillermo Brown";"Argentina"
"Gurupi";"Brasil"
"Guzman";"Argentina"
"Hayes";"Paraguai"
"Hermandad Gallega";"Venezuela"
"Hermanos Colmenares";"Venezuela"
"Holanda";"Brasil"
"Horizonte";"Brasil"
"Huachipato";"Chile"
"Huaral";"Peru"
"Huila";"Colômbia"
"Huracan";"Argentina"
"Huracan Las Heras";"Argentina"
"Huracan Tres Arroyos";"Argentina"
"IAPE";"Brasil"
"Iberia";"Chile"
"Iberoamericana";"Bolívia"
"Icasa";"Brasil"
"Imbabura";"Equador"
"Imperatriz";"Brasil"
"Ind. Cauquenes";"Chile"
"Ind. del Valle";"Equador"
"Ind. Juniors";"Equador"
"Ind. Medellin";"Colômbia"
"Ind. Rivadavia";"Argentina"
"Independente";"Brasil"
"Independiente";"Argentina"
"Independiente";"Bolívia"
"Independiente Chivilcoy";"Argentina"
"Independiente de Neuquen";"Argentina"
"Independiente FBC";"Paraguai"
"Independiente La Fria";"Venezuela"
"Industrial Aviles";"Bolívia"
"Instituto";"Argentina"
"Inter de Lages";"Brasil"
"Internacional";"Brasil"
"Internacional de Limeira";"Brasil"
"Internacional Turen";"Venezuela"
"Interporto";"Brasil"
"Iraty";"Brasil"
"Itabaiana";"Brasil"
"ItalMaracaibo";"Venezuela"
"Itapemirim";"Brasil"
"Ituano";"Brasil"
"Itumbiara";"Brasil"
"Ivinhema";"Brasil"
"Jacuipense";"Brasil"
"Jaguares de Cordoba";"Colômbia"
"JBL Zulia";"Venezuela"
"Ji-Parana";"Brasil"
"Joinville";"Brasil"
"Jose Galvez";"Peru"
"Juan Aurich";"Peru"
"Juazeirense";"Brasil"
"Juazeiro";"Brasil"
"Julho Esporte";"Brasil"
"Junior";"Colômbia"
"Juventud";"Uruguai"
"Juventud Hospital";"Chile"
"Juventud Unida Universitario";"Argentina"
"Juventude";"Brasil"
"Juventus AC";"Brasil"
"JV Lideral MA";"Brasil"
"Kumey";"Chile"
"La Emilia";"Argentina"
"La Equidad";"Colômbia"
"La Guaira";"Venezuela"
"La Paz";"Bolívia"
"La Serena";"Chile"
"Laferrere";"Argentina"
"Lagarto";"Brasil"
"Lajeadense";"Brasil"
"Lanus";"Argentina"
"Lara";"Venezuela"
"Lautaro";"Chile"
"LDU Loja";"Equador"
"LDU Portoviejo";"Equador"
"LDU Quito";"Equador"
"Leandro N. Alem";"Argentina"
"Leon de Huanuco";"Peru"
"Leones";"Colômbia"
"Libertad Asuncion";"Paraguai"
"Libertador";"Venezuela"
"Limache";"Chile"
"Linares Unido";"Chile"
"Linense";"Brasil"
"Liverpool M.";"Uruguai"
"Llaneros";"Colômbia"
"Llaneros";"Venezuela"
"Local Andina";"Venezuela"
"Londrina";"Brasil"
"Los Andes";"Argentina"
"Los Andes";"Venezuela"
"Los Caimanes";"Peru"
"Lota Schwager";"Chile"
"Loteria del Tachira";"Venezuela"
"Luverdense";"Brasil"
"Luziania";"Brasil"
"Macara";"Equador"
"Madureira";"Brasil"
"Magallanes";"Chile"
"Maldonado";"Uruguai"
"Malleco Unido";"Chile"
"Malucelli";"Brasil"
"Manaus";"Brasil"
"Manta";"Equador"
"Maranhao";"Brasil"
"Margarita";"Venezuela"
"Maringa FC";"Brasil"
"Mariscal";"Bolívia"
"Mejillones";"Chile"
"Melipilla";"Chile"
"Metropolitanos";"Venezuela"
"Midland";"Argentina"
"Millonarios";"Colômbia"
"Minasoro FV";"Venezuela"
"Mineros";"Venezuela"
"Minerven";"Venezuela"
"Miramar";"Uruguai"
"Misto";"Brasil"
"Mixto";"Brasil"
"Molinos El Pirata";"Peru"
"Monagas";"Venezuela"
"Moto Club";"Brasil"
"Municipal Pintana";"Chile"
"Municipal Santiago";"Chile"
"Murici";"Brasil"
"Mushuc Runa";"Equador"
"Nacional";"Uruguai"
"Nacional-AM";"Brasil"
"Nacional Asuncion";"Paraguai"
"Nacional de Patos";"Brasil"
"Nacional Potosi";"Bolívia"
"Nacional Tachira";"Venezuela"
"Nautico";"Brasil"
"Nautico FC";"Brasil"
"Naviraiense";"Brasil"
"Newells Old Boys";"Argentina"
"Noroeste";"Brasil"
"Nova Iguacu";"Brasil"
"Novo Hamburgo";"Brasil"
"Novoperario";"Brasil"
"Nublense";"Chile"
"Nueva Chicago";"Argentina"
"O'Higgins";"Chile"
"Oeste";"Brasil"
"Olimpia Asuncion";"Paraguai"
"Olimpo Bahia Blanca";"Argentina"
"Olmedo";"Equador"
"Once Caldas";"Colômbia"
"Operario";"Brasil"
"Operario FC";"Brasil"
"Operario MS";"Brasil"
"Oratorio";"Brasil"
"Orense";"Equador"
"Oriente Petrolero";"Bolívia"
"Orsomarso";"Colômbia"
"Osorno";"Chile"
"Ovetense FC";"Paraguai"
"Pacairigua";"Venezuela"
"Pacifico";"Argentina"
"Pacifico";"Colômbia"
"Pacifico";"Peru"
"Palestino";"Chile"
"Palmas";"Brasil"
"Palmeiras";"Brasil"
"Paragominas";"Brasil"
"Parana";"Brasil"
"Parana S.T.C.";"Brasil"
"Parauapebas";"Brasil"
"Parnahyba";"Brasil"
"Pastoreo";"Paraguai"
"Patriotas";"Colômbia"
"Patronato";"Argentina"
"Paulista";"Brasil"
"Paysandu Bella Vista";"Uruguai"
"Paysandu FC";"Uruguai"
"Paysandu PA";"Brasil"
"Penalolen";"Chile"
"Penarol";"Brasil"
"Penarol";"Uruguai"
"Pereira";"Colômbia"
"Petare";"Venezuela"
"Petrolera";"Colômbia"
"Petrolero de Yacuiba";"Bolívia"
"Petroleros de Anzoategui";"Venezuela"
"Piaui";"Brasil"
"Picos";"Brasil"
"Pilmahue";"Chile"
"Placido de Castro";"Brasil"
"Platense";"Argentina"
"Plaza Colonia";"Uruguai"
"Policia de Lara";"Venezuela"
"Ponte Preta";"Brasil"
"Portuguesa";"Brasil"
"Portuguesa";"Venezuela"
"Potiguar";"Brasil"
"Potros de Barinas";"Venezuela"
"Pozo Almonte";"Chile"
"Princesa Solimoes";"Brasil"
"Progreso";"Uruguai"
"Provincial Ovalle";"Chile"
"Provincial Talagante";"Chile"
"Pudahuel Barrancas";"Chile"
"Puerto Cabello";"Venezuela"
"Quevedo";"Equador"
"Quilmes";"Argentina"
"Quindio";"Colômbia"
"Racing Club";"Argentina"
"Racing Cordoba";"Argentina"
"Racing Montevideo";"Uruguai"
"Racing Olavarria";"Argentina"
"Racing Trelew";"Argentina"
"Rampla Juniors";"Uruguai"
"Rangers";"Chile"
"RD Ariquemes";"Brasil"
"Real Anzoategui";"Venezuela"
"Real Mamore";"Bolívia"
"Real Noroeste";"Brasil"
"Real Pilar";"Argentina"
"Real Potosi";"Bolívia"
"Real San Andres";"Colômbia"
"Real Sao Luiz";"Brasil"
"Recoleta";"Chile"
"Recoleta";"Paraguai"
"Red Bull Brasil";"Brasil"
"Remo";"Brasil"
"Rentistas";"Uruguai"
"Resende";"Brasil"
"RI 3 Corrales";"Paraguai"
"Rio Branco";"Brasil"
"Rio Branco ES";"Brasil"
"Rio Branco SP";"Brasil"
"River-PI";"Brasil"
"River Plate";"Argentina"
"River Plate";"Brasil"
"River Plate";"Paraguai"
"River Plate";"Uruguai"
"Rocha";"Uruguai"
"Rondonopolis";"Brasil"
"Rosario Central";"Argentina"
"Royal Pari";"Bolívia"
"Rubio Nu";"Paraguai"
"S. Morning";"Chile"
"S. Wanderers";"Chile"
"Sacachispas";"Argentina"
"Salgueiro";"Brasil"
"Sampaio Correa";"Brasil"
"San Antonio";"Venezuela"
"San Antonio Unido";"Chile"
"San Felipe";"Chile"
"San Jose";"Bolívia"
"San Lorenzo";"Argentina"
"San Lorenzo";"Paraguai"
"San Lorenzo Alem";"Argentina"
"San Luis";"Chile"
"San Marcos de Arica";"Chile"
"San Martin Formosa";"Argentina"
"San Martin Mendoza";"Argentina"
"San Martin S.J.";"Argentina"
"San Martin T.";"Argentina"
"San Simon";"Peru"
"San Telmo";"Argentina"
"Sansinena";"Argentina"
"Santa Cruz";"Bolívia"
"Santa Cruz";"Brasil"
"Santa Cruz-RN";"Brasil"
"Santa Cruz de Natal";"Brasil"
"Santa Fe";"Colômbia"
"Santa Helena";"Brasil"
"Santa Quiteria";"Brasil"
"Santa Rita";"Brasil"
"Santa Rita";"Equador"
"Santa Rosa";"Peru"
"Santamarina";"Argentina"
"Santo Andre";"Brasil"
"Santos";"Brasil"
"Santos AP";"Brasil"
"Santos FC";"Peru"
"Sao Bento";"Brasil"
"Sao Bernardo";"Brasil"
"Sao Caetano";"Brasil"
"SAO Domingos SE";"Brasil"
"Sao Francisco";"Brasil"
"SAO Jose";"Brasil"
"Sao Luiz";"Brasil"
"SAO Mateus";"Brasil"
"Sao Paulo";"Brasil"
"SAO Raimundo PA";"Brasil"
"Sao Raimundo RR";"Brasil"
"Sapucaiense";"Brasil"
"Sarmiento Junin";"Argentina"
"Sarmiento Resistencia";"Argentina"
"Sayago";"Uruguai"
"SER Caxias";"Brasil"
"Sergipe";"Brasil"
"Serra";"Brasil"
"Silvio Pettirossi";"Paraguai"
"Sinop";"Brasil"
"Sisley";"Uruguai"
"Sobradinho";"Brasil"
"Social Cultural Tomas Greig";"Chile"
"Sol de America";"Paraguai"
"Sol de Mayo";"Argentina"
"Sousa";"Brasil"
"Souza PB";"Brasil"
"Sp. Carapegua";"Paraguai"
"Sp. Luqueno";"Paraguai"
"Sport Ancash";"Peru"
"Sport Boys";"Bolívia"
"Sport Boys";"Peru"
"Sport Colombia";"Paraguai"
"Sport Huancayo";"Peru"
"Sport Loreto";"Peru"
"Sport Recife";"Brasil"
"Sport Rosario";"Peru"
"Sport Victoria";"Peru"
"Sporting Cristal";"Peru"
"Sportivo Barracas";"Argentina"
"Sportivo Belgrano";"Argentina"
"Sportivo Estudiantes";"Argentina"
"Sportivo Italiano";"Argentina"
"Sportivo Iteno";"Paraguai"
"Sportivo Las Parejas";"Argentina"
"Sportivo Trinidense";"Paraguai"
"Sud America";"Uruguai"
"Tacuarembo";"Uruguai"
"Tacuary";"Paraguai"
"Talleres [R.E]";"Argentina"
"Talleres Cordoba";"Argentina"
"Tecnico U.";"Equador"
"Temperley";"Argentina"
"The Strongest";"Bolívia"
"Tigre";"Argentina"
"Tigres";"Colômbia"
"Tigres Brasil";"Brasil"
"Tiro Federal";"Argentina"
"Titanes";"Venezuela"
"Tocantinopolis";"Brasil"
"Tocantins";"Brasil"
"Tombense";"Brasil"
"Total Chalaco";"Peru"
"Trasandino";"Chile"
"Trem";"Brasil"
"Treze PB";"Brasil"
"Tristan Suarez";"Argentina"
"Trujillanos";"Venezuela"
"Tubarao";"Brasil"
"Tucanes";"Venezuela"
"Tupi";"Brasil"
"U. A. Maracaibo";"Venezuela"
"U. Catolica";"Chile"
"U. Catolica";"Equador"
"U. De Chile";"Chile"
"U. De Concepcion";"Chile"
"U. de Deportes";"Peru"
"U. Espanola";"Chile"
"U. Magdalena";"Colômbia"
"U. Pando";"Bolívia"
"U. San Martin";"Peru"
"U. Sucre";"Bolívia"
"UAI Urquiza";"Argentina"
"Uberaba";"Brasil"
"Uberlandia";"Brasil"
"Uniao MT";"Brasil"
"Uniao Rondonopolis";"Brasil"
"Uniautonoma";"Colômbia"
"Union Aconquija";"Argentina"
"Union Comercio";"Peru"
"Union de Santa Fe";"Argentina"
"Union La Calera";"Chile"
"Union Lara";"Venezuela"
"Union Santiago";"Argentina"
"Union Sunchales";"Argentina"
"Union Temuco";"Chile"
"Union Villa Krause";"Argentina"
"Universidad Central";"Venezuela"
"Universitario Beni";"Bolívia"
"Urena";"Venezuela"
"URT";"Brasil"
"Valdivia";"Chile"
"Valledupar";"Colômbia"
"Vasco";"Brasil"
"Velez Sarsfield";"Argentina"
"Veranopolis";"Brasil"
"Viale";"Argentina"
"Victoriano A.";"Argentina"
"Vila Nova FC";"Brasil"
"Vilhena";"Brasil"
"Villa Dalmine";"Argentina"
"Villa Espanola";"Uruguai"
"Villa Mitre";"Argentina"
"Villa Nova MG";"Brasil"
"Villa Teresa";"Uruguai"
"Vinotinto";"Venezuela"
"Vitoria";"Brasil"
"Vitoria da Conquista";"Brasil"
"Vitoria ES";"Brasil"
"Volta Redonda";"Brasil"
"Votoraty SP";"Brasil"
"Votuporanguense";"Brasil"
"Wanderers";"Uruguai"
"Wanka";"Peru"
"Wilstermann";"Bolívia"
"Yaracuy";"Venezuela"
"Yaracuyanos";"Venezuela"
"Ypiranga";"Brasil"
"Ypiranga AP";"Brasil"
"Ypiranga FC";"Brasil"
"Zamora";"Venezuela"
"Zulia";"Venezuela"
